16	0
17	1
17	2
18	3
19	4
27	5
28	6
28	7
29	8
29	9
30	10
34	11
35	12
36	13
36	14
37	15
37	16
46	17
46	18
47	19
47	20
48	21
49	22
49	23
58	24
58	25
59	26
60	27
60	28
61	29
69	30
70	31
70	32
71	33
72	34
72	35
76	36
77	37
78	38
78	39
79	40
80	41
88	42
89	43
89	44
90	45
90	46
91	47
92	48
100	49
100	50
101	51
102	52
102	53
103	54
111	55
112	56
113	57
113	58
114	59
114	60
123	61
123	62
124	63
125	64
125	65
126	66
126	67
135	68
135	69
136	70
137	71
137	72
138	73
146	74
147	75
148	76
144	77
145	78
145	79
154	80
154	81
155	82
156	83
156	84
157	85
165	86
166	87
166	88
167	89
168	90
168	91
177	92
177	93
178	94
178	95
179	96
180	97
180	98
186	99
